Case    |No      |Elem    |    F_A(t)  
    132.|      4.|     70.|      -56.48
    132.|      5.|     70.|      -56.48
    132.|      6.|     70.|      -56.48
    133.|      1.|    138.|       18.59
    133.|      2.|    110.|      -24.55
    133.|      3.|     70.|      -56.53
    133.|      4.|     70.|      -56.53
    133.|      5.|     70.|      -56.53
    133.|      6.|     70.|      -56.53
    134.|      1.|    138.|       17.35
    134.|      2.|    110.|      -24.17
    134.|      3.|     70.|      -56.57
    134.|      4.|     70.|      -56.57
    134.|      5.|     70.|      -56.57
    134.|      6.|     70.|      -56.57
    135.|      1.|    138.|       16.11
    135.|      2.|    110.|      -23.79
    135.|      3.|     70.|      -56.59
    135.|      4.|     70.|      -56.59
    135.|      5.|     70.|      -56.59
    135.|      6.|     70.|      -56.59
    136.|      1.|    138.|       14.85
    136.|      2.|    110.|      -23.40
    136.|      3.|     70.|      -56.59
    136.|      4.|     70.|      -56.59
    136.|      5.|     70.|      -56.59
    136.|      6.|     70.|      -56.59
    137.|      1.|    138.|       13.60
    137.|      2.|    110.|      -23.00
    137.|      3.|     70.|      -56.57
    137.|      4.|     70.|      -56.57
    137.|      5.|     70.|      -56.57
    137.|      6.|     70.|      -56.57
    138.|      1.|    138.|       12.34
    138.|      2.|    110.|      -22.60
    138.|      3.|     70.|      -56.54
    138.|      4.|     70.|      -56.54
    138.|      5.|     70.|      -56.54
    138.|      6.|     70.|      -56.54
    139.|      1.|    138.|       11.07
    139.|      2.|    110.|      -22.19
    139.|      3.|     70.|      -56.49
    139.|      4.|     70.|      -56.49
    139.|      5.|     70.|      -56.49
    139.|      6.|     70.|      -56.49
    140.|      1.|    138.|        9.80
    140.|      2.|    110.|      -21.77
    140.|      3.|     70.|      -56.42
    140.|      4.|     70.|      -56.42
    140.|      5.|     70.|      -56.42
    140.|      6.|     70.|      -56.42
    141.|      1.|    138.|        8.53
    141.|      2.|    110.|      -21.35
    141.|      3.|     70.|      -56.34
    141.|      4.|     70.|      -56.34
    141.|      5.|     70.|      -56.34
    141.|      6.|     70.|      -56.34
    142.|      1.|    138.|        7.26
    142.|      2.|    110.|      -20.92
    142.|      3.|     70.|      -56.24
    142.|      4.|     70.|      -56.24
    142.|      5.|     70.|      -56.24
    142.|      6.|     70.|      -56.24
    143.|      1.|    138.|        5.99
    143.|      2.|    110.|      -20.48
    143.|      3.|     70.|      -56.12
    143.|      4.|     70.|      -56.12
    143.|      5.|     70.|      -56.12
    143.|      6.|     70.|      -56.12
    144.|      1.|    138.|        4.71
    144.|      2.|    110.|      -20.04
    144.|      3.|     70.|      -55.98
    144.|      4.|     70.|      -55.98
    144.|      5.|     70.|      -55.98
    144.|      6.|     70.|      -55.98
    145.|      1.|    138.|        3.43
    145.|      2.|    110.|      -19.59
    145.|      3.|     70.|      -55.83
    145.|      4.|     70.|      -55.83
    145.|      5.|     70.|      -55.83
    145.|      6.|     70.|      -55.83
    146.|      1.|    138.|        2.15
    146.|      2.|    110.|      -19.13
    146.|      3.|     70.|      -55.66
    146.|      4.|     70.|      -55.66
    146.|      5.|     70.|      -55.66
    146.|      6.|     70.|      -55.66
    147.|      1.|    138.|        0.87
    147.|      2.|    110.|      -18.67
    147.|      3.|     70.|      -55.47
    147.|      4.|     70.|      -55.47
    147.|      5.|     70.|      -55.47
    147.|      6.|     70.|      -55.47
    148.|      1.|    138.|       -0.41
    148.|      2.|    110.|      -18.20
    148.|      3.|     70.|      -55.27
    148.|      4.|     70.|      -55.27
    148.|      5.|     70.|      -55.27
    148.|      6.|     70.|      -55.27
    149.|      1.|    138.|       -1.69
    149.|      2.|    110.|      -17.73
    149.|      3.|     70.|      -55.05
    149.|      4.|     70.|      -55.05
    149.|      5.|     70.|      -55.05
    149.|      6.|     70.|      -55.05
    150.|      1.|    138.|       -2.97
    150.|      2.|    110.|      -17.25
    150.|      3.|     70.|      -54.81
    150.|      4.|     70.|      -54.81
    150.|      5.|     70.|      -54.81
    150.|      6.|     70.|      -54.81
    151.|      1.|    138.|       -4.25
    151.|      2.|    110.|      -16.77
    151.|      3.|     70.|      -54.56
    151.|      4.|     70.|      -54.56
    151.|      5.|     70.|      -54.56
    151.|      6.|     70.|      -54.56
    152.|      1.|    138.|       -5.53
    152.|      2.|    110.|      -16.28
    152.|      3.|     70.|      -54.29
    152.|      4.|     70.|      -54.29
    152.|      5.|     70.|      -54.29
    152.|      6.|     70.|      -54.29
    153.|      1.|    138.|       -6.80
    153.|      2.|    110.|      -15.79
    153.|      3.|     70.|      -54.00
    153.|      4.|     70.|      -54.00
    153.|      5.|     70.|      -54.00
    153.|      6.|     70.|      -54.00
    154.|      1.|    138.|       -8.08
    154.|      2.|    110.|      -15.29
    154.|      3.|     70.|      -53.70
    154.|      4.|     70.|      -53.70
    154.|      5.|     70.|      -53.70
    154.|      6.|     70.|      -53.70
    155.|      1.|    138.|       -9.35
    155.|      2.|    110.|      -14.79
    155.|      3.|     70.|      -53.38
    155.|      4.|     70.|      -53.38
    155.|      5.|     70.|      -53.38
    155.|      6.|     70.|      -53.38
    156.|      1.|    138.|      -10.62
    156.|      2.|    110.|      -14.28
    156.|      3.|     70.|      -53.04
    156.|      4.|     70.|      -53.04
    156.|      5.|     70.|      -53.04
    156.|      6.|     70.|      -53.04
    157.|      1.|    138.|      -11.88
    157.|      2.|    110.|      -13.77
    157.|      3.|     70.|      -52.69
    157.|      4.|     70.|      -52.69
    157.|      5.|     70.|      -52.69
    157.|      6.|     70.|      -52.69
    158.|      1.|    138.|      -13.15
    158.|      2.|    110.|      -13.25
    158.|      3.|     70.|      -52.32
    158.|      4.|     70.|      -52.32
    158.|      5.|     70.|      -52.32
    158.|      6.|     70.|      -52.32
    159.|      1.|    138.|      -14.40
    159.|      2.|    110.|      -12.73
    159.|      3.|     70.|      -51.94
    159.|      4.|     70.|      -51.94
    159.|      5.|     70.|      -51.94
    159.|      6.|     70.|      -51.94
    160.|      1.|    138.|      -15.66
    160.|      2.|    110.|      -12.21
    160.|      3.|     70.|      -51.54
    160.|      4.|     70.|      -51.54
    160.|      5.|     70.|      -51.54
    160.|      6.|     70.|      -51.54
    161.|      1.|    138.|      -16.91
    161.|      2.|    110.|      -11.68
    161.|      3.|     70.|      -51.12
    161.|      4.|     70.|      -51.12
    161.|      5.|     70.|      -51.12
    161.|      6.|     70.|      -51.12
    162.|      1.|    138.|      -18.15
    162.|      2.|    110.|      -11.15
    162.|      3.|     70.|      -50.69
    162.|      4.|     70.|      -50.69
    162.|      5.|     70.|      -50.69
    162.|      6.|     70.|      -50.69
    163.|      1.|    138.|      -19.39
    163.|      2.|    110.|      -10.62
    163.|      3.|     70.|      -50.24
    163.|      4.|     70.|      -50.24
    163.|      5.|     70.|      -50.24
    163.|      6.|     70.|      -50.24
    164.|      1.|    138.|      -20.62
    164.|      2.|    110.|      -10.08
    164.|      3.|     70.|      -49.78
    164.|      4.|     70.|      -49.78
    164.|      5.|     70.|      -49.78
    164.|      6.|     70.|      -49.78
    165.|      1.|    138.|      -21.85
    165.|      2.|    110.|       -9.54
    165.|      3.|     70.|      -49.30
    165.|      4.|     70.|      -49.30
    165.|      5.|     70.|      -49.30
    165.|      6.|     70.|      -49.30
    166.|      1.|    138.|      -23.07
    166.|      2.|    110.|       -9.00
    166.|      3.|     70.|      -48.81
    166.|      4.|     70.|      -48.81
    166.|      5.|     70.|      -48.81
    166.|      6.|     70.|      -48.81
    167.|      1.|    138.|      -24.28
    167.|      2.|    110.|       -8.45
    167.|      3.|     70.|      -48.30
    167.|      4.|     70.|      -48.30
    167.|      5.|     70.|      -48.30
    167.|      6.|     70.|      -48.30
    168.|      1.|    138.|      -25.48
    168.|      2.|    110.|       -7.90
    168.|      3.|     70.|      -47.78
    168.|      4.|     70.|      -47.78
    168.|      5.|     70.|      -47.78
    168.|      6.|     70.|      -47.78
    169.|      1.|    138.|      -26.68
    169.|      2.|    110.|       -7.35
    169.|      3.|     70.|      -47.25
    169.|      4.|     70.|      -47.25
    169.|      5.|     70.|      -47.25
    169.|      6.|     70.|      -47.25
    170.|      1.|    138.|      -27.87
    170.|      2.|    110.|       -6.80
    170.|      3.|     70.|      -46.70
    170.|      4.|     70.|      -46.70
    170.|      5.|     70.|      -46.70
    170.|      6.|     70.|      -46.70
    171.|      1.|    138.|      -29.05
    171.|      2.|    110.|       -6.24
    171.|      3.|     70.|      -46.13
    171.|      4.|     70.|      -46.13
    171.|      5.|     70.|      -46.13
    171.|      6.|     70.|      -46.13
    172.|      1.|    138.|      -30.22
    172.|      2.|    110.|       -5.68
    172.|      3.|     70.|      -45.55
    172.|      4.|     70.|      -45.55
    172.|      5.|     70.|      -45.55
    172.|      6.|     70.|      -45.55
    173.|      1.|    138.|      -31.38
    173.|      2.|    110.|       -5.12
    173.|      3.|     70.|      -44.96
    173.|      4.|     70.|      -44.96
    173.|      5.|     70.|      -44.96
    173.|      6.|     70.|      -44.96
    174.|      1.|    138.|      -32.54
    174.|      2.|    110.|       -4.56
    174.|      3.|     70.|      -44.35
    174.|      4.|     70.|      -44.35
    174.|      5.|     70.|      -44.35
    174.|      6.|     70.|      -44.35
    175.|      1.|    138.|      -33.68
    175.|      2.|    110.|       -4.00
    175.|      3.|     70.|      -43.73
    175.|      4.|     70.|      -43.73
    175.|      5.|     70.|      -43.73
    175.|      6.|     70.|      -43.73
    176.|      1.|    138.|      -34.81
    176.|      2.|    110.|       -3.44
    176.|      3.|     70.|      -43.10
    176.|      4.|     70.|      -43.10
    176.|      5.|     70.|      -43.10
    176.|      6.|     70.|      -43.10
    177.|      1.|    138.|      -35.93
    177.|      2.|    110.|       -2.87
    177.|      3.|     70.|      -42.45
    177.|      4.|     70.|      -42.45
    177.|      5.|     70.|      -42.45
    177.|      6.|     70.|      -42.45
    178.|      1.|    138.|      -37.04
    178.|      2.|    110.|       -2.31
    178.|      3.|     70.|      -41.79
    178.|      4.|     70.|      -41.79
    178.|      5.|     70.|      -41.79
    178.|      6.|     70.|      -41.79
    179.|      1.|    138.|      -38.14
    179.|      2.|    110.|       -1.74
    179.|      3.|     70.|      -41.12
    179.|      4.|     70.|      -41.12
    179.|      5.|     70.|      -41.12
    179.|      6.|     70.|      -41.12
    180.|      1.|    138.|      -39.23
    180.|      2.|    110.|       -1.17
    180.|      3.|     70.|      -40.43
    180.|      4.|     70.|      -40.43
    180.|      5.|     70.|      -40.43
    180.|      6.|     70.|      -40.43
    181.|      1.|    138.|      -40.31
    181.|      2.|    110.|       -0.61
    181.|      3.|     70.|      -39.74
    181.|      4.|     70.|      -39.74
    181.|      5.|     70.|      -39.74
    181.|      6.|     70.|      -39.74
    182.|      1.|    138.|      -41.37
    182.|      2.|    110.|       -0.04
    182.|      3.|     70.|      -39.03
    182.|      4.|     70.|      -39.03
    182.|      5.|     70.|      -39.03
    182.|      6.|     70.|      -39.03
    183.|      1.|    138.|      -42.42
    183.|      2.|    110.|        0.53
    183.|      3.|     70.|      -38.31
    183.|      4.|     70.|      -38.31
    183.|      5.|     70.|      -38.31
    183.|      6.|     70.|      -38.31
    184.|      1.|    138.|      -43.46
    184.|      2.|    110.|        1.09
    184.|      3.|     70.|      -37.57
    184.|      4.|     70.|      -37.57
    184.|      5.|     70.|      -37.57
    184.|      6.|     70.|      -37.57
    185.|      1.|    138.|      -44.49
    185.|      2.|    110.|        1.66
    185.|      3.|     70.|      -36.83
    185.|      4.|     70.|      -36.83
    185.|      5.|     70.|      -36.83
    185.|      6.|     70.|      -36.83
    186.|      1.|    138.|      -45.50
    186.|      2.|    110.|        2.23
    186.|      3.|     70.|      -36.07
    186.|      4.|     70.|      -36.07
    186.|      5.|     70.|      -36.07
    186.|      6.|     70.|      -36.07
    187.|      1.|    138.|      -46.50
    187.|      2.|    110.|        2.79
    187.|      3.|     70.|      -35.31
    187.|      4.|     70.|      -35.31
    187.|      5.|     70.|      -35.31
    187.|      6.|     70.|      -35.31
    188.|      1.|    138.|      -47.48
    188.|      2.|    110.|        3.36
    188.|      3.|     70.|      -34.53
    188.|      4.|     70.|      -34.53
    188.|      5.|     70.|      -34.53
    188.|      6.|     70.|      -34.53
    189.|      1.|    138.|      -48.45
    189.|      2.|    110.|        3.92
    189.|      3.|     70.|      -33.74
    189.|      4.|     70.|      -33.74
    189.|      5.|     70.|      -33.74
    189.|      6.|     70.|      -33.74
    190.|      1.|    138.|      -49.40
    190.|      2.|    110.|        4.48
    190.|      3.|     70.|      -32.94
    190.|      4.|     70.|      -32.94
    190.|      5.|     70.|      -32.94
    190.|      6.|     70.|      -32.94
    191.|      1.|    138.|      -50.34
    191.|      2.|    110.|        5.04
    191.|      3.|     70.|      -32.14
    191.|      4.|     70.|      -32.14
    191.|      5.|     70.|      -32.14
    191.|      6.|     70.|      -32.14
    192.|      1.|    138.|      -51.27
    192.|      2.|    110.|        5.60
    192.|      3.|     70.|      -31.32
    192.|      4.|     70.|      -31.32
    192.|      5.|     70.|      -31.32
    192.|      6.|     70.|      -31.32
    193.|      1.|    138.|      -52.18
    193.|      2.|    110.|        6.16
    193.|      3.|     70.|      -30.49
    193.|      4.|     70.|      -30.49
    193.|      5.|     70.|      -30.49
    193.|      6.|     70.|      -30.49
    194.|      1.|    138.|      -53.07
    194.|      2.|    110.|        6.72
    194.|      3.|     70.|      -29.65
    194.|      4.|     70.|      -29.65
    194.|      5.|     70.|      -29.65
    194.|      6.|     70.|      -29.65
    195.|      1.|    138.|      -53.94
    195.|      2.|    110.|        7.27
    195.|      3.|     70.|      -28.81
    195.|      4.|     70.|      -28.81
    195.|      5.|     70.|      -28.81
    195.|      6.|     70.|      -28.81
    196.|      1.|    138.|      -54.80
    196.|      2.|    110.|        7.82
    196.|      3.|     70.|      -27.95
    196.|      4.|     70.|      -27.95
    196.|      5.|     70.|      -27.95
    196.|      6.|     70.|      -27.95
    197.|      1.|    138.|      -55.65
    197.|      2.|    110.|        8.37
    197.|      3.|     70.|      -27.09
    197.|      4.|     70.|      -27.09
    197.|      5.|     70.|      -27.09
    197.|      6.|     70.|      -27.09
    198.|      1.|    138.|      -56.47
    198.|      2.|    110.|        8.92
    198.|      3.|     70.|      -26.22
    198.|      4.|     70.|      -26.22
    198.|      5.|     70.|      -26.22
    198.|      6.|     70.|      -26.22
    199.|      1.|    138.|      -57.28
    199.|      2.|    110.|        9.46
    199.|      3.|     70.|      -25.34
    199.|      4.|     70.|      -25.34
    199.|      5.|     70.|      -25.34
    199.|      6.|     70.|      -25.34
    200.|      1.|    138.|      -58.07
    200.|      2.|    110.|       10.00
    200.|      3.|     70.|      -24.45
    200.|      4.|     70.|      -24.45
    200.|      5.|     70.|      -24.45
    200.|      6.|     70.|      -24.45
    201.|      1.|    138.|      -58.85
    201.|      2.|    110.|       10.54
    201.|      3.|     70.|      -23.56
    201.|      4.|     70.|      -23.56
    201.|      5.|     70.|      -23.56
    201.|      6.|     70.|      -23.56
    202.|      1.|    138.|      -59.60
    202.|      2.|    110.|       11.08
    202.|      3.|     70.|      -22.66
    202.|      4.|     70.|      -22.66
    202.|      5.|     70.|      -22.66
    202.|      6.|     70.|      -22.66
    203.|      1.|    138.|      -60.34
    203.|      2.|    110.|       11.61
    203.|      3.|     70.|      -21.75
    203.|      4.|     70.|      -21.75
    203.|      5.|     70.|      -21.75
    203.|      6.|     70.|      -21.75
    204.|      1.|    138.|      -61.06
    204.|      2.|    110.|       12.13
    204.|      3.|     70.|      -20.83
    204.|      4.|     70.|      -20.83
    204.|      5.|     70.|      -20.83
    204.|      6.|     70.|      -20.83
    205.|      1.|    138.|      -61.76
    205.|      2.|    110.|       12.66
    205.|      3.|     70.|      -19.91
    205.|      4.|     70.|      -19.91
    205.|      5.|     70.|      -19.91
    205.|      6.|     70.|      -19.91
    206.|      1.|    138.|      -62.44
    206.|      2.|    110.|       13.18
    206.|      3.|     70.|      -18.99
    206.|      4.|     70.|      -18.99
    206.|      5.|     70.|      -18.99
    206.|      6.|     70.|      -18.99
    207.|      1.|    138.|      -63.11
    207.|      2.|    110.|       13.70
    207.|      3.|     70.|      -18.05
    207.|      4.|     70.|      -18.05
    207.|      5.|     70.|      -18.05
    207.|      6.|     70.|      -18.05
    208.|      1.|    138.|      -63.75
    208.|      2.|    110.|       14.21
    208.|      3.|     70.|      -17.11
    208.|      4.|     70.|      -17.11
    208.|      5.|     70.|      -17.11
    208.|      6.|     70.|      -17.11
    209.|      1.|    138.|      -64.38
    209.|      2.|    110.|       14.72
    209.|      3.|     70.|      -16.17
    209.|      4.|     70.|      -16.17
    209.|      5.|     70.|      -16.17
    209.|      6.|     70.|      -16.17
    210.|      1.|    138.|      -64.98
    210.|      2.|    110.|       15.22
    210.|      3.|     70.|      -15.22
    210.|      4.|     70.|      -15.22
    210.|      5.|     70.|      -15.22
    210.|      6.|     70.|      -15.22
    211.|      1.|    138.|      -65.56
    211.|      2.|    110.|       15.72
    211.|      3.|     70.|      -14.27
    211.|      4.|     70.|      -14.27
    211.|      5.|     70.|      -14.27
    211.|      6.|     70.|      -14.27
    212.|      1.|    138.|      -66.13
    212.|      2.|    110.|       16.21
    212.|      3.|     70.|      -13.31
    212.|      4.|     70.|      -13.31
    212.|      5.|     70.|      -13.31
    212.|      6.|     70.|      -13.31
    213.|      1.|    138.|      -66.67
    213.|      2.|    110.|       16.70
    213.|      3.|     70.|      -12.35
    213.|      4.|     70.|      -12.35
    213.|      5.|     70.|      -12.35
    213.|      6.|     70.|      -12.35
    214.|      1.|    138.|      -67.20
    214.|      2.|    110.|       17.18
    214.|      3.|     70.|      -11.38
    214.|      4.|     70.|      -11.38
    214.|      5.|     70.|      -11.38
    214.|      6.|     70.|      -11.38
    215.|      1.|    138.|      -67.70
    215.|      2.|    110.|       17.66
    215.|      3.|     70.|      -10.41
    215.|      4.|     70.|      -10.41
    215.|      5.|     70.|      -10.41
    215.|      6.|     70.|      -10.41
    216.|      1.|    138.|      -68.19
    216.|      2.|    110.|       18.14
    216.|      3.|     70.|       -9.44
    216.|      4.|     70.|       -9.44
    216.|      5.|     70.|       -9.44
    216.|      6.|     70.|       -9.44
    217.|      1.|    138.|      -68.65
    217.|      2.|    110.|       18.60
    217.|      3.|     70.|       -8.46
    217.|      4.|     70.|       -8.46
    217.|      5.|     70.|       -8.46
    217.|      6.|     70.|       -8.46
    218.|      1.|    138.|      -69.09
    218.|      2.|    110.|       19.07
    218.|      3.|     70.|       -7.49
    218.|      4.|     70.|       -7.49
    218.|      5.|     70.|       -7.49
    218.|      6.|     70.|       -7.49
    219.|      1.|    138.|      -69.51
    219.|      2.|    110.|       19.52
    219.|      3.|     70.|       -6.51
    219.|      4.|     70.|       -6.51
    219.|      5.|     70.|       -6.51
    219.|      6.|     70.|       -6.51
    220.|      1.|    138.|      -69.91
    220.|      2.|    110.|       19.97
    220.|      3.|     70.|       -5.52
    220.|      4.|     70.|       -5.52
    220.|      5.|     70.|       -5.52
    220.|      6.|     70.|       -5.52
    221.|      1.|    138.|      -70.29
    221.|      2.|    110.|       20.42
    221.|      3.|     70.|       -4.54
    221.|      4.|     70.|       -4.54
    221.|      5.|     70.|       -4.54
    221.|      6.|     70.|       -4.54
    222.|      1.|    138.|      -70.65
    222.|      2.|    110.|       20.86
    222.|      3.|     70.|       -3.56
    222.|      4.|     70.|       -3.56
    222.|      5.|     70.|       -3.56
    222.|      6.|     70.|       -3.56
    223.|      1.|    138.|      -70.98
    223.|      2.|    110.|       21.29
    223.|      3.|     70.|       -2.57
    223.|      4.|     70.|       -2.57
    223.|      5.|     70.|       -2.57
    223.|      6.|     70.|       -2.57
    224.|      1.|    138.|      -71.30
    224.|      2.|    110.|       21.71
    224.|      3.|     70.|       -1.58
    224.|      4.|     70.|       -1.58
    224.|      5.|     70.|       -1.58
    224.|      6.|     70.|       -1.58
    225.|      1.|    138.|      -71.59
    225.|      2.|    110.|       22.13
    225.|      3.|     70.|       -0.59
    225.|      4.|     70.|       -0.59
    225.|      5.|     70.|       -0.59
    225.|      6.|     70.|       -0.59
    226.|      1.|    138.|      -71.86
    226.|      2.|    110.|       22.54
    226.|      3.|     70.|        0.39
    226.|      4.|     70.|        0.39
    226.|      5.|     70.|        0.39
    226.|      6.|     70.|        0.39
    227.|      1.|    138.|      -72.11
    227.|      2.|    110.|       22.95
    227.|      3.|     70.|        1.38
    227.|      4.|     70.|        1.38
    227.|      5.|     70.|        1.38
    227.|      6.|     70.|        1.38
    228.|      1.|    138.|      -72.33
    228.|      2.|    110.|       23.35
    228.|      3.|     70.|        2.37
    228.|      4.|     70.|        2.37
    228.|      5.|     70.|        2.37
    228.|      6.|     70.|        2.37
    229.|      1.|    138.|      -72.54
    229.|      2.|    110.|       23.74
    229.|      3.|     70.|        3.35
    229.|      4.|     70.|        3.35
    229.|      5.|     70.|        3.35
    229.|      6.|     70.|        3.35
    230.|      1.|    138.|      -72.72
    230.|      2.|    110.|       24.12
    230.|      3.|     70.|        4.34
    230.|      4.|     70.|        4.34
    230.|      5.|     70.|        4.34
    230.|      6.|     70.|        4.34
    231.|      1.|    138.|      -72.88
    231.|      2.|    110.|       24.50
    231.|      3.|     70.|        5.32
    231.|      4.|     70.|        5.32
    231.|      5.|     70.|        5.32
    231.|      6.|     70.|        5.32
    232.|      1.|    138.|      -73.02
    232.|      2.|    110.|       24.87
    232.|      3.|     70.|        6.31
    232.|      4.|     70.|        6.31
    232.|      5.|     70.|        6.31
    232.|      6.|     70.|        6.31
    233.|      1.|    138.|      -73.13
    233.|      2.|    110.|       25.23
    233.|      3.|     70.|        7.29
    233.|      4.|     70.|        7.29
    233.|      5.|     70.|        7.29
    233.|      6.|     70.|        7.29
    234.|      1.|    138.|      -73.23
    234.|      2.|    110.|       25.58
    234.|      3.|     70.|        8.27
    234.|      4.|     70.|        8.27
    234.|      5.|     70.|        8.27
    234.|      6.|     70.|        8.27
    235.|      1.|    138.|      -73.30
    235.|      2.|    110.|       25.93
    235.|      3.|     70.|        9.24
    235.|      4.|     70.|        9.24
    235.|      5.|     70.|        9.24
    235.|      6.|     70.|        9.24
    236.|      1.|    138.|      -73.35
    236.|      2.|    110.|       26.26
    236.|      3.|     70.|       10.21
    236.|      4.|     70.|       10.21
    236.|      5.|     70.|       10.21
    236.|      6.|     70.|       10.21
    237.|      1.|    138.|      -73.37
    237.|      2.|    110.|       26.59
    237.|      3.|     70.|       11.18
    237.|      4.|     70.|       11.18
    237.|      5.|     70.|       11.18
    237.|      6.|     70.|       11.18
    238.|      1.|    138.|      -73.38
    238.|      2.|    110.|       26.92
    238.|      3.|     70.|       12.15
    238.|      4.|     70.|       12.15
    238.|      5.|     70.|       12.15
    238.|      6.|     70.|       12.15
    239.|      1.|    138.|      -73.36
    239.|      2.|    110.|       27.23
    239.|      3.|     70.|       13.11
    239.|      4.|     70.|       13.11
    239.|      5.|     70.|       13.11
    239.|      6.|     70.|       13.11
    240.|      1.|    138.|      -73.32
    240.|      2.|    110.|       27.53
    240.|      3.|     70.|       14.07
    240.|      4.|     70.|       14.07
    240.|      5.|     70.|       14.07
    240.|      6.|     70.|       14.07
    241.|      1.|    138.|      -73.25
    241.|      2.|    110.|       27.83
    241.|      3.|     70.|       15.03
    241.|      4.|     70.|       15.03
    241.|      5.|     70.|       15.03
    241.|      6.|     70.|       15.03
    242.|      1.|    138.|      -73.17
    242.|      2.|    110.|       28.12
    242.|      3.|     70.|       15.98
    242.|      4.|     70.|       15.98
    242.|      5.|     70.|       15.98
    242.|      6.|     70.|       15.98
    243.|      1.|    138.|      -73.06
    243.|      2.|    110.|       28.40
    243.|      3.|     70.|       16.92
    243.|      4.|     70.|       16.92
    243.|      5.|     70.|       16.92
    243.|      6.|     70.|       16.92
    244.|      1.|    138.|      -72.93
    244.|      2.|    110.|       28.67
    244.|      3.|     70.|       17.86
    244.|      4.|     70.|       17.86
    244.|      5.|     70.|       17.86
    244.|      6.|     70.|       17.86
    245.|      1.|    138.|      -72.78
    245.|      2.|    110.|       28.93
    245.|      3.|     70.|       18.80
    245.|      4.|     70.|       18.80
    245.|      5.|     70.|       18.80
    245.|      6.|     70.|       18.80
    246.|      1.|    138.|      -72.60
    246.|      2.|    110.|       29.19
    246.|      3.|     70.|       19.72
    246.|      4.|     70.|       19.72
    246.|      5.|     70.|       19.72
    246.|      6.|     70.|       19.72
    247.|      1.|    138.|      -72.41
    247.|      2.|    110.|       29.43
    247.|      3.|     70.|       20.65
    247.|      4.|     70.|       20.65
    247.|      5.|     70.|       20.65
    247.|      6.|     70.|       20.65
    248.|      1.|    138.|      -72.19
    248.|      2.|    110.|       29.67
    248.|      3.|     70.|       21.56
    248.|      4.|     70.|       21.56
    248.|      5.|     70.|       21.56
    248.|      6.|     70.|       21.56
    249.|      1.|    138.|      -71.95
    249.|      2.|    110.|       29.89
    249.|      3.|     70.|       22.47
    249.|      4.|     70.|       22.47
    249.|      5.|     70.|       22.47
    249.|      6.|     70.|       22.47
    250.|      1.|    138.|      -71.69
    250.|      2.|    110.|       30.11
    250.|      3.|     70.|       23.38
    250.|      4.|     70.|       23.38
    250.|      5.|     70.|       23.38
    250.|      6.|     70.|       23.38
    251.|      1.|    138.|      -71.40
    251.|      2.|    110.|       30.32
    251.|      3.|     70.|       24.27
    251.|      4.|     70.|       24.27
    251.|      5.|     70.|       24.27
    251.|      6.|     70.|       24.27
    252.|      1.|    138.|      -71.10
    252.|      2.|    110.|       30.52
    252.|      3.|     70.|       25.16
    252.|      4.|     70.|       25.16
    252.|      5.|     70.|       25.16
    252.|      6.|     70.|       25.16
    253.|      1.|    138.|      -70.77
    253.|      2.|    110.|       30.71
    253.|      3.|     70.|       26.04
    253.|      4.|     70.|       26.04
    253.|      5.|     70.|       26.04
    253.|      6.|     70.|       26.04
    254.|      1.|    138.|      -70.42
    254.|      2.|    110.|       30.89
    254.|      3.|     70.|       26.91
    254.|      4.|     70.|       26.91
    254.|      5.|     70.|       26.91
    254.|      6.|     70.|       26.91
    255.|      1.|    138.|      -70.05
    255.|      2.|    110.|       31.06
    255.|      3.|     70.|       27.78
    255.|      4.|     70.|       27.78
    255.|      5.|     70.|       27.78
    255.|      6.|     70.|       27.78
    256.|      1.|    138.|      -69.66
    256.|      2.|    110.|       31.22
    256.|      3.|     70.|       28.64
    256.|      4.|     70.|       28.64
    256.|      5.|     70.|       28.64
    256.|      6.|     70.|       28.64
    257.|      1.|    138.|      -69.24
    257.|      2.|    110.|       31.38
    257.|      3.|     70.|       29.48
    257.|      4.|     70.|       29.48
    257.|      5.|     70.|       29.48
    257.|      6.|     70.|       29.48
    258.|      1.|    138.|      -68.81
    258.|      2.|    110.|       31.52
    258.|      3.|     70.|       30.32
    258.|      4.|     70.|       30.32
    258.|      5.|     70.|       30.32
    258.|      6.|     70.|       30.32
    259.|      1.|    138.|      -68.35
    259.|      2.|    110.|       31.65
    259.|      3.|     70.|       31.15
    259.|      4.|     70.|       31.15
    259.|      5.|     70.|       31.15
    259.|      6.|     70.|       31.15
    260.|      1.|    138.|      -67.88
    260.|      2.|    110.|       31.77
    260.|      3.|     70.|       31.97
    260.|      4.|     70.|       31.97
    260.|      5.|     70.|       31.97
    260.|      6.|     70.|       31.97
    261.|      1.|    138.|      -67.38
    261.|      2.|    110.|       31.89
    261.|      3.|     70.|       32.78
    261.|      4.|     70.|       32.78
    261.|      5.|     70.|       32.78
    261.|      6.|     70.|       32.78
    262.|      1.|    138.|      -66.86
    262.|      2.|    110.|       31.99
    262.|      3.|     70.|       33.58
    262.|      4.|     70.|       33.58
    262.|      5.|     70.|       33.58
    262.|      6.|     70.|       33.58
    263.|      1.|    138.|      -66.33
    263.|      2.|    110.|       32.09
    263.|      3.|     70.|       34.37
    263.|      4.|     70.|       34.37
    263.|      5.|     70.|       34.37
    263.|      6.|     70.|       34.37
    264.|      1.|    138.|      -65.77
