Case    |No      |Elem    |    F_A(t)  
     28.|      1.|    138.|       63.75
     28.|      2.|    110.|      -14.21
     28.|      3.|     70.|       17.11
     28.|      4.|     70.|       17.11
     28.|      5.|     70.|       17.11
     28.|      6.|     70.|       17.11
     29.|      1.|    138.|       64.38
     29.|      2.|    110.|      -14.72
     29.|      3.|     70.|       16.17
     29.|      4.|     70.|       16.17
     29.|      5.|     70.|       16.17
     29.|      6.|     70.|       16.17
     30.|      1.|    138.|       64.98
     30.|      2.|    110.|      -15.22
     30.|      3.|     70.|       15.22
     30.|      4.|     70.|       15.22
     30.|      5.|     70.|       15.22
     30.|      6.|     70.|       15.22
     31.|      1.|    138.|       65.56
     31.|      2.|    110.|      -15.72
     31.|      3.|     70.|       14.27
     31.|      4.|     70.|       14.27
     31.|      5.|     70.|       14.27
     31.|      6.|     70.|       14.27
     32.|      1.|    138.|       66.13
     32.|      2.|    110.|      -16.21
     32.|      3.|     70.|       13.31
     32.|      4.|     70.|       13.31
     32.|      5.|     70.|       13.31
     32.|      6.|     70.|       13.31
     33.|      1.|    138.|       66.67
     33.|      2.|    110.|      -16.70
     33.|      3.|     70.|       12.35
     33.|      4.|     70.|       12.35
     33.|      5.|     70.|       12.35
     33.|      6.|     70.|       12.35
     34.|      1.|    138.|       67.20
     34.|      2.|    110.|      -17.18
     34.|      3.|     70.|       11.38
     34.|      4.|     70.|       11.38
     34.|      5.|     70.|       11.38
     34.|      6.|     70.|       11.38
     35.|      1.|    138.|       67.70
     35.|      2.|    110.|      -17.66
     35.|      3.|     70.|       10.41
     35.|      4.|     70.|       10.41
     35.|      5.|     70.|       10.41
     35.|      6.|     70.|       10.41
     36.|      1.|    138.|       68.19
     36.|      2.|    110.|      -18.14
     36.|      3.|     70.|        9.44
     36.|      4.|     70.|        9.44
     36.|      5.|     70.|        9.44
     36.|      6.|     70.|        9.44
     37.|      1.|    138.|       68.65
     37.|      2.|    110.|      -18.60
     37.|      3.|     70.|        8.46
     37.|      4.|     70.|        8.46
     37.|      5.|     70.|        8.46
     37.|      6.|     70.|        8.46
     38.|      1.|    138.|       69.09
     38.|      2.|    110.|      -19.07
     38.|      3.|     70.|        7.49
     38.|      4.|     70.|        7.49
     38.|      5.|     70.|        7.49
     38.|      6.|     70.|        7.49
     39.|      1.|    138.|       69.51
     39.|      2.|    110.|      -19.52
     39.|      3.|     70.|        6.51
     39.|      4.|     70.|        6.51
     39.|      5.|     70.|        6.51
     39.|      6.|     70.|        6.51
     40.|      1.|    138.|       69.91
     40.|      2.|    110.|      -19.97
     40.|      3.|     70.|        5.52
     40.|      4.|     70.|        5.52
     40.|      5.|     70.|        5.52
     40.|      6.|     70.|        5.52
     41.|      1.|    138.|       70.29
     41.|      2.|    110.|      -20.42
     41.|      3.|     70.|        4.54
     41.|      4.|     70.|        4.54
     41.|      5.|     70.|        4.54
     41.|      6.|     70.|        4.54
     42.|      1.|    138.|       70.65
     42.|      2.|    110.|      -20.86
     42.|      3.|     70.|        3.56
     42.|      4.|     70.|        3.56
     42.|      5.|     70.|        3.56
     42.|      6.|     70.|        3.56
     43.|      1.|    138.|       70.98
     43.|      2.|    110.|      -21.29
     43.|      3.|     70.|        2.57
     43.|      4.|     70.|        2.57
     43.|      5.|     70.|        2.57
     43.|      6.|     70.|        2.57
     44.|      1.|    138.|       71.30
     44.|      2.|    110.|      -21.71
     44.|      3.|     70.|        1.58
     44.|      4.|     70.|        1.58
     44.|      5.|     70.|        1.58
     44.|      6.|     70.|        1.58
     45.|      1.|    138.|       71.59
     45.|      2.|    110.|      -22.13
     45.|      3.|     70.|        0.59
     45.|      4.|     70.|        0.59
     45.|      5.|     70.|        0.59
     45.|      6.|     70.|        0.59
     46.|      1.|    138.|       71.86
     46.|      2.|    110.|      -22.54
     46.|      3.|     70.|       -0.39
     46.|      4.|     70.|       -0.39
     46.|      5.|     70.|       -0.39
     46.|      6.|     70.|       -0.39
     47.|      1.|    138.|       72.11
     47.|      2.|    110.|      -22.95
     47.|      3.|     70.|       -1.38
     47.|      4.|     70.|       -1.38
     47.|      5.|     70.|       -1.38
     47.|      6.|     70.|       -1.38
     48.|      1.|    138.|       72.33
     48.|      2.|    110.|      -23.35
     48.|      3.|     70.|       -2.37
     48.|      4.|     70.|       -2.37
     48.|      5.|     70.|       -2.37
     48.|      6.|     70.|       -2.37
     49.|      1.|    138.|       72.54
     49.|      2.|    110.|      -23.74
     49.|      3.|     70.|       -3.35
     49.|      4.|     70.|       -3.35
     49.|      5.|     70.|       -3.35
     49.|      6.|     70.|       -3.35
     50.|      1.|    138.|       72.72
     50.|      2.|    110.|      -24.12
     50.|      3.|     70.|       -4.34
     50.|      4.|     70.|       -4.34
     50.|      5.|     70.|       -4.34
     50.|      6.|     70.|       -4.34
     51.|      1.|    138.|       72.88
     51.|      2.|    110.|      -24.50
     51.|      3.|     70.|       -5.32
     51.|      4.|     70.|       -5.32
     51.|      5.|     70.|       -5.32
     51.|      6.|     70.|       -5.32
     52.|      1.|    138.|       73.02
     52.|      2.|    110.|      -24.87
     52.|      3.|     70.|       -6.31
     52.|      4.|     70.|       -6.31
     52.|      5.|     70.|       -6.31
     52.|      6.|     70.|       -6.31
     53.|      1.|    138.|       73.13
     53.|      2.|    110.|      -25.23
     53.|      3.|     70.|       -7.29
     53.|      4.|     70.|       -7.29
     53.|      5.|     70.|       -7.29
     53.|      6.|     70.|       -7.29
     54.|      1.|    138.|       73.23
     54.|      2.|    110.|      -25.58
     54.|      3.|     70.|       -8.27
     54.|      4.|     70.|       -8.27
     54.|      5.|     70.|       -8.27
     54.|      6.|     70.|       -8.27
     55.|      1.|    138.|       73.30
