Case    |No      |Node    |    F_X(t)  |    F_Y(t)  |    F_Z(t)  |    M_X(t.m)|    M_Y(t.m)|    M_Z(t.m)
     79.|      3.|    122.|      -39.87|      -46.17|        1.65|        0.00|        0.00|        0.00
     79.|      4.|    122.|      -39.87|      -46.17|        1.65|        0.00|        0.00|        0.00
     79.|      5.|    122.|      -39.87|      -46.17|        1.65|        0.00|        0.00|        0.00
     79.|      6.|    122.|      -39.87|      -46.17|        1.65|        0.00|        0.00|        0.00
     80.|      1.|    249.|      -30.34|       60.72|        1.16|        0.00|        0.00|        0.00
     80.|      2.|    122.|      -40.33|      -46.98|        1.65|        0.00|        0.00|        0.00
     80.|      3.|    122.|      -40.33|      -46.98|        1.65|        0.00|        0.00|        0.00
     80.|      4.|    122.|      -40.33|      -46.98|        1.65|        0.00|        0.00|        0.00
     80.|      5.|    122.|      -40.33|      -46.98|        1.65|        0.00|        0.00|        0.00
     80.|      6.|    122.|      -40.33|      -46.98|        1.65|        0.00|        0.00|        0.00
     81.|      1.|    249.|      -30.12|       60.28|        1.16|        0.00|        0.00|        0.00
     81.|      2.|    122.|      -40.79|      -47.77|        1.65|        0.00|        0.00|        0.00
     81.|      3.|    122.|      -40.79|      -47.77|        1.65|        0.00|        0.00|        0.00
     81.|      4.|    122.|      -40.79|      -47.77|        1.65|        0.00|        0.00|        0.00
     81.|      5.|    122.|      -40.79|      -47.77|        1.65|        0.00|        0.00|        0.00
     81.|      6.|    122.|      -40.79|      -47.77|        1.65|        0.00|        0.00|        0.00
     82.|      1.|    249.|      -29.89|       59.81|        1.16|        0.00|        0.00|        0.00
     82.|      2.|    122.|      -41.23|      -48.55|        1.65|        0.00|        0.00|        0.00
     82.|      3.|    122.|      -41.23|      -48.55|        1.65|        0.00|        0.00|        0.00
     82.|      4.|    122.|      -41.23|      -48.55|        1.65|        0.00|        0.00|        0.00
     82.|      5.|    122.|      -41.23|      -48.55|        1.65|        0.00|        0.00|        0.00
     82.|      6.|    122.|      -41.23|      -48.55|        1.65|        0.00|        0.00|        0.00
     83.|      1.|    249.|      -29.65|       59.33|        1.16|        0.00|        0.00|        0.00
     83.|      2.|    122.|      -41.65|      -49.31|        1.65|        0.00|        0.00|        0.00
     83.|      3.|    122.|      -41.65|      -49.31|        1.65|        0.00|        0.00|        0.00
     83.|      4.|    122.|      -41.65|      -49.31|        1.65|        0.00|        0.00|        0.00
     83.|      5.|    122.|      -41.65|      -49.31|        1.65|        0.00|        0.00|        0.00
     83.|      6.|    122.|      -41.65|      -49.31|        1.65|        0.00|        0.00|        0.00
     84.|      1.|    249.|      -29.39|       58.84|        1.16|        0.00|        0.00|        0.00
     84.|      2.|    122.|      -42.07|      -50.06|        1.65|        0.00|        0.00|        0.00
     84.|      3.|    122.|      -42.07|      -50.06|        1.65|        0.00|        0.00|        0.00
     84.|      4.|    122.|      -42.07|      -50.06|        1.65|        0.00|        0.00|        0.00
     84.|      5.|    122.|      -42.07|      -50.06|        1.65|        0.00|        0.00|        0.00
     84.|      6.|    122.|      -42.07|      -50.06|        1.65|        0.00|        0.00|        0.00
     85.|      1.|    249.|      -29.13|       58.32|        1.16|        0.00|        0.00|        0.00
     85.|      2.|    122.|      -42.47|      -50.79|        1.65|        0.00|        0.00|        0.00
     85.|      3.|    122.|      -42.47|      -50.79|        1.65|        0.00|        0.00|        0.00
     85.|      4.|    122.|      -42.47|      -50.79|        1.65|        0.00|        0.00|        0.00
     85.|      5.|    122.|      -42.47|      -50.79|        1.65|        0.00|        0.00|        0.00
     85.|      6.|    122.|      -42.47|      -50.79|        1.65|        0.00|        0.00|        0.00
     86.|      1.|    249.|      -28.86|       57.79|        1.16|        0.00|        0.00|        0.00
     86.|      2.|    122.|      -42.86|      -51.51|        1.65|        0.00|        0.00|        0.00
     86.|      3.|    122.|      -42.86|      -51.51|        1.65|        0.00|        0.00|        0.00
     86.|      4.|    122.|      -42.86|      -51.51|        1.65|        0.00|        0.00|        0.00
     86.|      5.|    122.|      -42.86|      -51.51|        1.65|        0.00|        0.00|        0.00
     86.|      6.|    122.|      -42.86|      -51.51|        1.65|        0.00|        0.00|        0.00
     87.|      1.|    249.|      -28.59|       57.23|        1.16|        0.00|        0.00|        0.00
     87.|      2.|    122.|      -43.24|      -52.21|        1.65|        0.00|        0.00|        0.00
     87.|      3.|    122.|      -43.24|      -52.21|        1.65|        0.00|        0.00|        0.00
     87.|      4.|    122.|      -43.24|      -52.21|        1.65|        0.00|        0.00|        0.00
     87.|      5.|    122.|      -43.24|      -52.21|        1.65|        0.00|        0.00|        0.00
     87.|      6.|    122.|      -43.24|      -52.21|        1.65|        0.00|        0.00|        0.00
     88.|      1.|    249.|      -28.30|       56.67|        1.16|        0.00|        0.00|        0.00
     88.|      2.|    122.|      -43.60|      -52.90|        1.65|        0.00|        0.00|        0.00
     88.|      3.|    122.|      -43.60|      -52.90|        1.65|        0.00|        0.00|        0.00
     88.|      4.|    122.|      -43.60|      -52.90|        1.65|        0.00|        0.00|        0.00
     88.|      5.|    122.|      -43.60|      -52.90|        1.65|        0.00|        0.00|        0.00
     88.|      6.|    122.|      -43.60|      -52.90|        1.65|        0.00|        0.00|        0.00
     89.|      1.|    249.|      -28.00|       56.08|        1.16|        0.00|        0.00|        0.00
     89.|      2.|    122.|      -43.95|      -53.57|        1.65|        0.00|        0.00|        0.00
     89.|      3.|    122.|      -43.95|      -53.57|        1.65|        0.00|        0.00|        0.00
     89.|      4.|    122.|      -43.95|      -53.57|        1.65|        0.00|        0.00|        0.00
     89.|      5.|    122.|      -43.95|      -53.57|        1.65|        0.00|        0.00|        0.00
     89.|      6.|    122.|      -43.95|      -53.57|        1.65|        0.00|        0.00|        0.00
     90.|      1.|    249.|      -27.70|       55.48|        1.16|        0.00|        0.00|        0.00
     90.|      2.|    122.|      -44.29|      -54.22|        1.65|        0.00|        0.00|        0.00
     90.|      3.|    122.|      -44.29|      -54.22|        1.65|        0.00|        0.00|        0.00
     90.|      4.|    122.|      -44.29|      -54.22|        1.65|        0.00|        0.00|        0.00
     90.|      5.|    122.|      -44.29|      -54.22|        1.65|        0.00|        0.00|        0.00
     90.|      6.|    122.|      -44.29|      -54.22|        1.65|        0.00|        0.00|        0.00
     91.|      1.|    249.|      -27.39|       54.86|        1.16|        0.00|        0.00|        0.00
     91.|      2.|    122.|      -44.61|      -54.86|        1.65|        0.00|        0.00|        0.00
     91.|      3.|    122.|      -44.61|      -54.86|        1.65|        0.00|        0.00|        0.00
     91.|      4.|    122.|      -44.61|      -54.86|        1.65|        0.00|        0.00|        0.00
     91.|      5.|    122.|      -44.61|      -54.86|        1.65|        0.00|        0.00|        0.00
     91.|      6.|    122.|      -44.61|      -54.86|        1.65|        0.00|        0.00|        0.00
     92.|      1.|    249.|      -27.07|       54.22|        1.16|        0.00|        0.00|        0.00
     92.|      2.|    122.|      -44.92|      -55.48|        1.65|        0.00|        0.00|        0.00
     92.|      3.|    122.|      -44.92|      -55.48|        1.65|        0.00|        0.00|        0.00
     92.|      4.|    122.|      -44.92|      -55.48|        1.65|        0.00|        0.00|        0.00
     92.|      5.|    122.|      -44.92|      -55.48|        1.65|        0.00|        0.00|        0.00
     92.|      6.|    122.|      -44.92|      -55.48|        1.65|        0.00|        0.00|        0.00
     93.|      1.|    249.|      -26.74|       53.57|        1.16|        0.00|        0.00|        0.00
     93.|      2.|    122.|      -45.22|      -56.08|        1.65|        0.00|        0.00|        0.00
     93.|      3.|    122.|      -45.22|      -56.08|        1.65|        0.00|        0.00|        0.00
     93.|      4.|    122.|      -45.22|      -56.08|        1.65|        0.00|        0.00|        0.00
     93.|      5.|    122.|      -45.22|      -56.08|        1.65|        0.00|        0.00|        0.00
     93.|      6.|    122.|      -45.22|      -56.08|        1.65|        0.00|        0.00|        0.00
     94.|      1.|    249.|      -26.40|       52.90|        1.16|        0.00|        0.00|        0.00
     94.|      2.|    122.|      -45.50|      -56.67|        1.65|        0.00|        0.00|        0.00
     94.|      3.|    122.|      -45.50|      -56.67|        1.65|        0.00|        0.00|        0.00
     94.|      4.|    122.|      -45.50|      -56.67|        1.65|        0.00|        0.00|        0.00
     94.|      5.|    122.|      -45.50|      -56.67|        1.65|        0.00|        0.00|        0.00
     94.|      6.|    122.|      -45.50|      -56.67|        1.65|        0.00|        0.00|        0.00
     95.|      1.|    249.|      -26.06|       52.21|        1.16|        0.00|        0.00|        0.00
     95.|      2.|    122.|      -45.77|      -57.23|        1.65|        0.00|        0.00|        0.00
     95.|      3.|    122.|      -45.77|      -57.23|        1.65|        0.00|        0.00|        0.00
     95.|      4.|    122.|      -45.77|      -57.23|        1.65|        0.00|        0.00|        0.00
     95.|      5.|    122.|      -45.77|      -57.23|        1.65|        0.00|        0.00|        0.00
     95.|      6.|    122.|      -45.77|      -57.23|        1.65|        0.00|        0.00|        0.00
     96.|      1.|    249.|      -25.70|       51.51|        1.16|        0.00|        0.00|        0.00
     96.|      2.|    122.|      -46.02|      -57.79|        1.65|        0.00|        0.00|        0.00
     96.|      3.|    122.|      -46.02|      -57.79|        1.65|        0.00|        0.00|        0.00
     96.|      4.|    122.|      -46.02|      -57.79|        1.65|        0.00|        0.00|        0.00
     96.|      5.|    122.|      -46.02|      -57.79|        1.65|        0.00|        0.00|        0.00
     96.|      6.|    122.|      -46.02|      -57.79|        1.65|        0.00|        0.00|        0.00
     97.|      1.|    249.|      -25.34|       50.79|        1.16|        0.00|        0.00|        0.00
     97.|      2.|    122.|      -46.26|      -58.32|        1.65|        0.00|        0.00|        0.00
     97.|      3.|    122.|      -46.26|      -58.32|        1.65|        0.00|        0.00|        0.00
     97.|      4.|    122.|      -46.26|      -58.32|        1.65|        0.00|        0.00|        0.00
     97.|      5.|    122.|      -46.26|      -58.32|        1.65|        0.00|        0.00|        0.00
     97.|      6.|    122.|      -46.26|      -58.32|        1.65|        0.00|        0.00|        0.00
     98.|      1.|    249.|      -24.97|       50.06|        1.16|        0.00|        0.00|        0.00
     98.|      2.|    122.|      -46.49|      -58.84|        1.65|        0.00|        0.00|        0.00
     98.|      3.|    122.|      -46.49|      -58.84|        1.65|        0.00|        0.00|        0.00
     98.|      4.|    122.|      -46.49|      -58.84|        1.65|        0.00|        0.00|        0.00
     98.|      5.|    122.|      -46.49|      -58.84|        1.65|        0.00|        0.00|        0.00
     98.|      6.|    122.|      -46.49|      -58.84|        1.65|        0.00|        0.00|        0.00
     99.|      1.|    249.|      -24.60|       49.31|        1.16|        0.00|        0.00|        0.00
     99.|      2.|    122.|      -46.70|      -59.33|        1.65|        0.00|        0.00|        0.00
     99.|      3.|    122.|      -46.70|      -59.33|        1.65|        0.00|        0.00|        0.00
     99.|      4.|    122.|      -46.70|      -59.33|        1.65|        0.00|        0.00|        0.00
     99.|      5.|    122.|      -46.70|      -59.33|        1.65|        0.00|        0.00|        0.00
     99.|      6.|    122.|      -46.70|      -59.33|        1.65|        0.00|        0.00|        0.00
    100.|      1.|    249.|      -24.21|       48.55|        1.16|        0.00|        0.00|        0.00
    100.|      2.|    122.|      -46.90|      -59.81|        1.65|        0.00|        0.00|        0.00
    100.|      3.|    122.|      -46.90|      -59.81|        1.65|        0.00|        0.00|        0.00
    100.|      4.|    122.|      -46.90|      -59.81|        1.65|        0.00|        0.00|        0.00
    100.|      5.|    122.|      -46.90|      -59.81|        1.65|        0.00|        0.00|        0.00
    100.|      6.|    122.|      -46.90|      -59.81|        1.65|        0.00|        0.00|        0.00
    101.|      1.|    249.|      -23.82|       47.77|        1.16|        0.00|        0.00|        0.00
    101.|      2.|    122.|      -47.08|      -60.28|        1.65|        0.00|        0.00|        0.00
    101.|      3.|    122.|      -47.08|      -60.28|        1.65|        0.00|        0.00|        0.00
    101.|      4.|    122.|      -47.08|      -60.28|        1.65|        0.00|        0.00|        0.00
    101.|      5.|    122.|      -47.08|      -60.28|        1.65|        0.00|        0.00|        0.00
    101.|      6.|    122.|      -47.08|      -60.28|        1.65|        0.00|        0.00|        0.00
    102.|      1.|    249.|      -23.43|       46.98|        1.16|        0.00|        0.00|        0.00
    102.|      2.|    122.|      -47.25|      -60.72|        1.65|        0.00|        0.00|        0.00
    102.|      3.|    122.|      -47.25|      -60.72|        1.65|        0.00|        0.00|        0.00
    102.|      4.|    122.|      -47.25|      -60.72|        1.65|        0.00|        0.00|        0.00
    102.|      5.|    122.|      -47.25|      -60.72|        1.65|        0.00|        0.00|        0.00
    102.|      6.|    122.|      -47.25|      -60.72|        1.65|        0.00|        0.00|        0.00
    103.|      1.|    249.|      -23.02|       46.17|        1.16|        0.00|        0.00|        0.00
    103.|      2.|    122.|      -47.41|      -61.14|        1.65|        0.00|        0.00|        0.00
    103.|      3.|    122.|      -47.41|      -61.14|        1.65|        0.00|        0.00|        0.00
    103.|      4.|    122.|      -47.41|      -61.14|        1.65|        0.00|        0.00|        0.00
    103.|      5.|    122.|      -47.41|      -61.14|        1.65|        0.00|        0.00|        0.00
    103.|      6.|    122.|      -47.41|      -61.14|        1.65|        0.00|        0.00|        0.00
    104.|      1.|    249.|      -22.61|       45.35|        1.16|        0.00|        0.00|        0.00
    104.|      2.|    122.|      -47.55|      -61.55|        1.65|        0.00|        0.00|        0.00
    104.|      3.|    122.|      -47.55|      -61.55|        1.65|        0.00|        0.00|        0.00
    104.|      4.|    122.|      -47.55|      -61.55|        1.65|        0.00|        0.00|        0.00
    104.|      5.|    122.|      -47.55|      -61.55|        1.65|        0.00|        0.00|        0.00
    104.|      6.|    122.|      -47.55|      -61.55|        1.65|        0.00|        0.00|        0.00
    105.|      1.|    249.|      -22.19|       44.52|        1.16|        0.00|        0.00|        0.00
    105.|      2.|    122.|      -47.67|      -61.94|        1.65|        0.00|        0.00|        0.00
    105.|      3.|    122.|      -47.67|      -61.94|        1.65|        0.00|        0.00|        0.00
    105.|      4.|    122.|      -47.67|      -61.94|        1.65|        0.00|        0.00|        0.00
    105.|      5.|    122.|      -47.67|      -61.94|        1.65|        0.00|        0.00|        0.00
    105.|      6.|    122.|      -47.67|      -61.94|        1.65|        0.00|        0.00|        0.00
    106.|      1.|    249.|      -21.76|       43.67|        1.16|        0.00|        0.00|        0.00
    106.|      2.|    122.|      -47.78|      -62.31|        1.65|        0.00|        0.00|        0.00
    106.|      3.|    122.|      -47.78|      -62.31|        1.65|        0.00|        0.00|        0.00
    106.|      4.|    122.|      -47.78|      -62.31|        1.65|        0.00|        0.00|        0.00
    106.|      5.|    122.|      -47.78|      -62.31|        1.65|        0.00|        0.00|        0.00
    106.|      6.|    122.|      -47.78|      -62.31|        1.65|        0.00|        0.00|        0.00
    107.|      1.|    249.|      -21.33|       42.81|        1.16|        0.00|        0.00|        0.00
    107.|      2.|    122.|      -47.88|      -62.66|        1.65|        0.00|        0.00|        0.00
    107.|      3.|    122.|      -47.88|      -62.66|        1.65|        0.00|        0.00|        0.00
    107.|      4.|    122.|      -47.88|      -62.66|        1.65|        0.00|        0.00|        0.00
    107.|      5.|    122.|      -47.88|      -62.66|        1.65|        0.00|        0.00|        0.00
    107.|      6.|    122.|      -47.88|      -62.66|        1.65|        0.00|        0.00|        0.00
    108.|      1.|    249.|      -20.89|       41.93|        1.16|        0.00|        0.00|        0.00
    108.|      2.|    122.|      -47.96|      -62.99|        1.65|        0.00|        0.00|        0.00
    108.|      3.|    122.|      -47.96|      -62.99|        1.65|        0.00|        0.00|        0.00
    108.|      4.|    122.|      -47.96|      -62.99|        1.65|        0.00|        0.00|        0.00
    108.|      5.|    122.|      -47.96|      -62.99|        1.65|        0.00|        0.00|        0.00
    108.|      6.|    122.|      -47.96|      -62.99|        1.65|        0.00|        0.00|        0.00
    109.|      1.|    249.|      -20.44|       41.05|        1.16|        0.00|        0.00|        0.00
    109.|      2.|    122.|      -48.03|      -63.30|        1.65|        0.00|        0.00|        0.00
    109.|      3.|    122.|      -48.03|      -63.30|        1.65|        0.00|        0.00|        0.00
    109.|      4.|    122.|      -48.03|      -63.30|        1.65|        0.00|        0.00|        0.00
    109.|      5.|    122.|      -48.03|      -63.30|        1.65|        0.00|        0.00|        0.00
    109.|      6.|    122.|      -48.03|      -63.30|        1.65|        0.00|        0.00|        0.00
    110.|      1.|    249.|      -19.99|       40.15|        1.16|        0.00|        0.00|        0.00
    110.|      2.|    122.|      -48.08|      -63.59|        1.65|        0.00|        0.00|        0.00
    110.|      3.|    122.|      -48.08|      -63.59|        1.65|        0.00|        0.00|        0.00
    110.|      4.|    122.|      -48.08|      -63.59|        1.65|        0.00|        0.00|        0.00
    110.|      5.|    122.|      -48.08|      -63.59|        1.65|        0.00|        0.00|        0.00
    110.|      6.|    122.|      -48.08|      -63.59|        1.65|        0.00|        0.00|        0.00
    111.|      1.|    249.|      -19.54|       39.24|        1.16|        0.00|        0.00|        0.00
    111.|      2.|    122.|      -48.12|      -63.86|        1.65|        0.00|        0.00|        0.00
    111.|      3.|    122.|      -48.12|      -63.86|        1.65|        0.00|        0.00|        0.00
    111.|      4.|    122.|      -48.12|      -63.86|        1.65|        0.00|        0.00|        0.00
    111.|      5.|    122.|      -48.12|      -63.86|        1.65|        0.00|        0.00|        0.00
    111.|      6.|    122.|      -48.12|      -63.86|        1.65|        0.00|        0.00|        0.00
    112.|      1.|    249.|      -19.07|       38.31|        1.16|        0.00|        0.00|        0.00
    112.|      2.|    122.|      -48.15|      -64.11|        1.65|        0.00|        0.00|        0.00
    112.|      3.|    122.|      -48.15|      -64.11|        1.65|        0.00|        0.00|        0.00
    112.|      4.|    122.|      -48.15|      -64.11|        1.65|        0.00|        0.00|        0.00
    112.|      5.|    122.|      -48.15|      -64.11|        1.65|        0.00|        0.00|        0.00
    112.|      6.|    122.|      -48.15|      -64.11|        1.65|        0.00|        0.00|        0.00
    113.|      1.|    249.|      -18.60|       37.38|        1.16|        0.00|        0.00|        0.00
    113.|      2.|    122.|      -48.16|      -64.35|        1.65|        0.00|        0.00|        0.00
    113.|      3.|    122.|      -48.16|      -64.35|        1.65|        0.00|        0.00|        0.00
    113.|      4.|    122.|      -48.16|      -64.35|        1.65|        0.00|        0.00|        0.00
    113.|      5.|    122.|      -48.16|      -64.35|        1.65|        0.00|        0.00|        0.00
    113.|      6.|    122.|      -48.16|      -64.35|        1.65|        0.00|        0.00|        0.00
    114.|      1.|    249.|      -18.13|       36.43|        1.16|        0.00|        0.00|        0.00
    114.|      2.|    122.|      -48.15|      -64.56|        1.65|        0.00|        0.00|        0.00
    114.|      3.|    122.|      -48.15|      -64.56|        1.65|        0.00|        0.00|        0.00
    114.|      4.|    122.|      -48.15|      -64.56|        1.65|        0.00|        0.00|        0.00
    114.|      5.|    122.|      -48.15|      -64.56|        1.65|        0.00|        0.00|        0.00
    114.|      6.|    122.|      -48.15|      -64.56|        1.65|        0.00|        0.00|        0.00
    115.|      1.|    249.|      -17.65|       35.47|        1.16|        0.00|        0.00|        0.00
    115.|      2.|    122.|      -48.13|      -64.76|        1.65|        0.00|        0.00|        0.00
    115.|      3.|    122.|      -48.13|      -64.76|        1.65|        0.00|        0.00|        0.00
    115.|      4.|    122.|      -48.13|      -64.76|        1.65|        0.00|        0.00|        0.00
    115.|      5.|    122.|      -48.13|      -64.76|        1.65|        0.00|        0.00|        0.00
    115.|      6.|    122.|      -48.13|      -64.76|        1.65|        0.00|        0.00|        0.00
    116.|      1.|    249.|      -17.16|       34.50|        1.16|        0.00|        0.00|        0.00
    116.|      2.|    122.|      -48.09|      -64.93|        1.65|        0.00|        0.00|        0.00
    116.|      3.|    122.|      -48.09|      -64.93|        1.65|        0.00|        0.00|        0.00
    116.|      4.|    122.|      -48.09|      -64.93|        1.65|        0.00|        0.00|        0.00
    116.|      5.|    122.|      -48.09|      -64.93|        1.65|        0.00|        0.00|        0.00
    116.|      6.|    122.|      -48.09|      -64.93|        1.65|        0.00|        0.00|        0.00
    117.|      1.|    249.|      -16.67|       33.52|        1.16|        0.00|        0.00|        0.00
    117.|      2.|    122.|      -48.05|      -65.09|        1.65|        0.00|        0.00|        0.00
    117.|      3.|    122.|      -48.05|      -65.09|        1.65|        0.00|        0.00|        0.00
    117.|      4.|    122.|      -48.05|      -65.09|        1.65|        0.00|        0.00|        0.00
    117.|      5.|    122.|      -48.05|      -65.09|        1.65|        0.00|        0.00|        0.00
    117.|      6.|    122.|      -48.05|      -65.09|        1.65|        0.00|        0.00|        0.00
    118.|      1.|    249.|      -16.17|       32.53|        1.16|        0.00|        0.00|        0.00
    118.|      2.|    122.|      -47.98|      -65.22|        1.65|        0.00|        0.00|        0.00
    118.|      3.|    122.|      -47.98|      -65.22|        1.65|        0.00|        0.00|        0.00
    118.|      4.|    122.|      -47.98|      -65.22|        1.65|        0.00|        0.00|        0.00
    118.|      5.|    122.|      -47.98|      -65.22|        1.65|        0.00|        0.00|        0.00
    118.|      6.|    122.|      -47.98|      -65.22|        1.65|        0.00|        0.00|        0.00
    119.|      1.|    249.|      -15.67|       31.54|        1.16|        0.00|        0.00|        0.00
    119.|      2.|    122.|      -47.90|      -65.34|        1.65|        0.00|        0.00|        0.00
    119.|      3.|    122.|      -47.90|      -65.34|        1.65|        0.00|        0.00|        0.00
    119.|      4.|    122.|      -47.90|      -65.34|        1.65|        0.00|        0.00|        0.00
    119.|      5.|    122.|      -47.90|      -65.34|        1.65|        0.00|        0.00|        0.00
    119.|      6.|    122.|      -47.90|      -65.34|        1.65|        0.00|        0.00|        0.00
    120.|      1.|    249.|      -15.16|       30.53|        1.16|        0.00|        0.00|        0.00
    120.|      2.|    122.|      -47.81|      -65.43|        1.65|        0.00|        0.00|        0.00
    120.|      3.|    122.|      -47.81|      -65.43|        1.65|        0.00|        0.00|        0.00
    120.|      4.|    122.|      -47.81|      -65.43|        1.65|        0.00|        0.00|        0.00
    120.|      5.|    122.|      -47.81|      -65.43|        1.65|        0.00|        0.00|        0.00
    120.|      6.|    122.|      -47.81|      -65.43|        1.65|        0.00|        0.00|        0.00
    121.|      1.|    249.|      -14.65|       29.51|        1.16|        0.00|        0.00|        0.00
    121.|      2.|    122.|      -47.70|      -65.51|        1.65|        0.00|        0.00|        0.00
    121.|      3.|    122.|      -47.70|      -65.51|        1.65|        0.00|        0.00|        0.00
    121.|      4.|    122.|      -47.70|      -65.51|        1.65|        0.00|        0.00|        0.00
    121.|      5.|    122.|      -47.70|      -65.51|        1.65|        0.00|        0.00|        0.00
    121.|      6.|    122.|      -47.70|      -65.51|        1.65|        0.00|        0.00|        0.00
    122.|      1.|    249.|      -14.14|       28.48|        1.16|        0.00|        0.00|        0.00
    122.|      2.|    122.|      -47.58|      -65.56|        1.65|        0.00|        0.00|        0.00
    122.|      3.|    122.|      -47.58|      -65.56|        1.65|        0.00|        0.00|        0.00
    122.|      4.|    122.|      -47.58|      -65.56|        1.65|        0.00|        0.00|        0.00
    122.|      5.|    122.|      -47.58|      -65.56|        1.65|        0.00|        0.00|        0.00
    122.|      6.|    122.|      -47.58|      -65.56|        1.65|        0.00|        0.00|        0.00
    123.|      1.|    249.|      -13.62|       27.44|        1.16|        0.00|        0.00|        0.00
    123.|      2.|    122.|      -47.44|      -65.60|        1.65|        0.00|        0.00|        0.00
    123.|      3.|    122.|      -47.44|      -65.60|        1.65|        0.00|        0.00|        0.00
    123.|      4.|    122.|      -47.44|      -65.60|        1.65|        0.00|        0.00|        0.00
    123.|      5.|    122.|      -47.44|      -65.60|        1.65|        0.00|        0.00|        0.00
    123.|      6.|    122.|      -47.44|      -65.60|        1.65|        0.00|        0.00|        0.00
    124.|      1.|    249.|      -13.09|       26.40|        1.16|        0.00|        0.00|        0.00
    124.|      2.|    122.|      -47.29|      -65.61|        1.65|        0.00|        0.00|        0.00
    124.|      3.|    122.|      -47.29|      -65.61|        1.65|        0.00|        0.00|        0.00
    124.|      4.|    122.|      -47.29|      -65.61|        1.65|        0.00|        0.00|        0.00
    124.|      5.|    122.|      -47.29|      -65.61|        1.65|        0.00|        0.00|        0.00
    124.|      6.|    122.|      -47.29|      -65.61|        1.65|        0.00|        0.00|        0.00
    125.|      1.|    249.|      -12.57|       25.35|        1.16|        0.00|        0.00|        0.00
    125.|      2.|    122.|      -47.12|      -65.61|        1.65|        0.00|        0.00|        0.00
    125.|      3.|    122.|      -47.12|      -65.61|        1.65|        0.00|        0.00|        0.00
    125.|      4.|    122.|      -47.12|      -65.61|        1.65|        0.00|        0.00|        0.00
    125.|      5.|    122.|      -47.12|      -65.61|        1.65|        0.00|        0.00|        0.00
    125.|      6.|    122.|      -47.12|      -65.61|        1.65|        0.00|        0.00|        0.00
    126.|      1.|    249.|      -12.04|       24.29|        1.16|        0.00|        0.00|        0.00
    126.|      2.|    122.|      -46.94|      -65.59|        1.65|        0.00|        0.00|        0.00
    126.|      3.|    122.|      -46.94|      -65.59|        1.65|        0.00|        0.00|        0.00
    126.|      4.|    122.|      -46.94|      -65.59|        1.65|        0.00|        0.00|        0.00
    126.|      5.|    122.|      -46.94|      -65.59|        1.65|        0.00|        0.00|        0.00
    126.|      6.|    122.|      -46.94|      -65.59|        1.65|        0.00|        0.00|        0.00
    127.|      1.|    249.|      -11.50|       23.22|        1.16|        0.00|        0.00|        0.00
    127.|      2.|    122.|      -46.75|      -65.54|        1.65|        0.00|        0.00|        0.00
    127.|      3.|    122.|      -46.75|      -65.54|        1.65|        0.00|        0.00|        0.00
    127.|      4.|    122.|      -46.75|      -65.54|        1.65|        0.00|        0.00|        0.00
    127.|      5.|    122.|      -46.75|      -65.54|        1.65|        0.00|        0.00|        0.00
    127.|      6.|    122.|      -46.75|      -65.54|        1.65|        0.00|        0.00|        0.00
    128.|      1.|    249.|      -10.96|       22.15|        1.16|        0.00|        0.00|        0.00
    128.|      2.|    122.|      -46.54|      -65.48|        1.65|        0.00|        0.00|        0.00
    128.|      3.|    122.|      -46.54|      -65.48|        1.65|        0.00|        0.00|        0.00
    128.|      4.|    122.|      -46.54|      -65.48|        1.65|        0.00|        0.00|        0.00
    128.|      5.|    122.|      -46.54|      -65.48|        1.65|        0.00|        0.00|        0.00
    128.|      6.|    122.|      -46.54|      -65.48|        1.65|        0.00|        0.00|        0.00
    129.|      1.|    249.|      -10.42|       21.06|        1.16|        0.00|        0.00|        0.00
    129.|      2.|    122.|      -46.32|      -65.39|        1.65|        0.00|        0.00|        0.00
    129.|      3.|    122.|      -46.32|      -65.39|        1.65|        0.00|        0.00|        0.00
    129.|      4.|    122.|      -46.32|      -65.39|        1.65|        0.00|        0.00|        0.00
    129.|      5.|    122.|      -46.32|      -65.39|        1.65|        0.00|        0.00|        0.00
    129.|      6.|    122.|      -46.32|      -65.39|        1.65|        0.00|        0.00|        0.00
    130.|      1.|    249.|       -9.87|       19.98|        1.16|        0.00|        0.00|        0.00
    130.|      2.|    122.|      -46.08|      -65.29|        1.65|        0.00|        0.00|        0.00
    130.|      3.|    122.|      -46.08|      -65.29|        1.65|        0.00|        0.00|        0.00
    130.|      4.|    122.|      -46.08|      -65.29|        1.65|        0.00|        0.00|        0.00
    130.|      5.|    122.|      -46.08|      -65.29|        1.65|        0.00|        0.00|        0.00
    130.|      6.|    122.|      -46.08|      -65.29|        1.65|        0.00|        0.00|        0.00
    131.|      1.|    249.|       -9.33|       18.88|        1.16|        0.00|        0.00|        0.00
    131.|      2.|    122.|      -45.83|      -65.16|        1.65|        0.00|        0.00|        0.00
    131.|      3.|    122.|      -45.83|      -65.16|        1.65|        0.00|        0.00|        0.00
    131.|      4.|    122.|      -45.83|      -65.16|        1.65|        0.00|        0.00|        0.00
    131.|      5.|    122.|      -45.83|      -65.16|        1.65|        0.00|        0.00|        0.00
    131.|      6.|    122.|      -45.83|      -65.16|        1.65|        0.00|        0.00|        0.00
    132.|      1.|    249.|       -8.77|       17.78|        1.16|        0.00|        0.00|        0.00
